epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.547,1.0409,3.43649,1.41889,0.3061,0.33674,0.25672,0.16908,1.15922,2.48704,1.60528,0.000237033,0.000237033,0.000237033
2,80.4033,1.11791,2.48561,1.46739,0.28498,0.34612,0.1984,0.12655,1.36825,2.7812,1.76008,0.000465627,0.000465627,0.000465627
3,119.855,1.21062,2.46563,1.54656,0.15816,0.27787,0.16409,0.0931,1.47875,2.93655,1.84076,0.000684796,0.000684796,0.000684796
4,158.915,1.21433,2.46805,1.55359,0.19406,0.31945,0.18624,0.10896,1.39364,2.86796,1.77956,0.000671588,0.000671588,0.000671588
5,198.692,1.16498,2.31745,1.50886,0.24308,0.35966,0.23408,0.15409,1.3226,2.42889,1.74227,0.000657451,0.000657451,0.000657451
6,237.685,1.11024,2.22085,1.46669,0.27855,0.44893,0.29987,0.19309,1.24037,2.30647,1.66861,0.000643314,0.000643314,0.000643314
7,277.172,1.09307,2.12993,1.45582,0.30068,0.43134,0.2814,0.18463,1.24058,2.14877,1.66784,0.000629177,0.000629177,0.000629177
8,316.366,1.06476,2.07168,1.43147,0.26703,0.4533,0.26315,0.16937,1.24653,2.32722,1.64361,0.00061504,0.00061504,0.00061504
9,355.413,1.07208,1.99213,1.43711,0.29631,0.48082,0.30068,0.20063,1.16586,2.05623,1.58056,0.000600902,0.000600902,0.000600902
10,394.645,1.02915,1.91966,1.39719,0.33739,0.49145,0.32975,0.22437,1.15032,1.96153,1.57365,0.000586765,0.000586765,0.000586765
11,433.811,1.02912,1.90635,1.39074,0.32123,0.52854,0.3148,0.20883,1.13223,1.98392,1.54799,0.000572628,0.000572628,0.000572628
12,472.72,0.99207,1.86078,1.37649,0.33167,0.51249,0.33083,0.23061,1.09931,1.97361,1.53432,0.000558491,0.000558491,0.000558491
13,512.179,0.97267,1.78615,1.36415,0.32399,0.43972,0.30822,0.20466,1.13818,2.06894,1.5529,0.000544354,0.000544354,0.000544354
14,551.11,0.97969,1.73295,1.36622,0.35003,0.51896,0.32392,0.2255,1.11881,1.90823,1.5518,0.000530216,0.000530216,0.000530216
15,590.306,0.96749,1.717,1.35133,0.32623,0.53116,0.32197,0.21904,1.10228,1.90736,1.52457,0.000516079,0.000516079,0.000516079
16,629.145,0.94602,1.67781,1.34032,0.36023,0.51335,0.34184,0.23413,1.13346,1.93312,1.54857,0.000501942,0.000501942,0.000501942
17,668.36,0.93214,1.67317,1.33405,0.37954,0.5651,0.3668,0.25216,1.07007,1.83322,1.50076,0.000487805,0.000487805,0.000487805
18,707.576,0.93014,1.62027,1.32622,0.37759,0.55764,0.373,0.271,1.04086,1.77196,1.45966,0.000473668,0.000473668,0.000473668
19,746.813,0.90664,1.55252,1.30591,0.33747,0.55402,0.34944,0.24388,1.10578,1.85648,1.5261,0.00045953,0.00045953,0.00045953
20,785.692,0.89391,1.53442,1.31059,0.32365,0.50385,0.32635,0.23225,1.07699,2.0155,1.48747,0.000445393,0.000445393,0.000445393
21,824.731,0.90512,1.51964,1.30792,0.34883,0.5594,0.35154,0.25161,1.07065,1.81111,1.50315,0.000431256,0.000431256,0.000431256
22,863.566,0.87358,1.47335,1.28022,0.35978,0.5705,0.36134,0.26192,1.06789,1.83108,1.4913,0.000417119,0.000417119,0.000417119
23,902.446,0.86493,1.46346,1.28089,0.33627,0.55213,0.34681,0.25013,1.05223,1.76648,1.48448,0.000402982,0.000402982,0.000402982
24,941.463,0.86203,1.42327,1.28054,0.34138,0.58647,0.35766,0.25259,1.06881,1.77657,1.4913,0.000388844,0.000388844,0.000388844
25,980.488,0.83278,1.38337,1.26099,0.39399,0.54919,0.35595,0.25812,1.03506,1.8428,1.46899,0.000374707,0.000374707,0.000374707
26,1019.38,0.84498,1.37181,1.2643,0.3376,0.58036,0.35135,0.25332,1.06794,1.81403,1.4881,0.00036057,0.00036057,0.00036057
27,1058.66,0.82635,1.36222,1.24878,0.34841,0.62954,0.38075,0.27486,1.06435,1.76766,1.47929,0.000346433,0.000346433,0.000346433
28,1097.79,0.83895,1.32996,1.25673,0.37521,0.49532,0.36063,0.26553,1.03623,1.80932,1.45405,0.000332296,0.000332296,0.000332296
29,1136.6,0.81062,1.28682,1.22757,0.378,0.58258,0.36863,0.26359,1.03343,1.8855,1.45685,0.000318158,0.000318158,0.000318158
30,1175.49,0.80032,1.28088,1.24271,0.37741,0.53682,0.36286,0.26279,1.05447,1.86623,1.47465,0.000304021,0.000304021,0.000304021
31,1214.33,0.80136,1.24831,1.23133,0.32943,0.55615,0.34781,0.25745,1.08367,1.94341,1.51147,0.000289884,0.000289884,0.000289884
32,1253.15,0.78467,1.20556,1.21192,0.36705,0.52909,0.34917,0.25733,1.04645,1.97601,1.46903,0.000275747,0.000275747,0.000275747
33,1292.16,0.76834,1.17799,1.20475,0.40558,0.55619,0.38111,0.28515,1.03845,1.91249,1.46145,0.00026161,0.00026161,0.00026161
34,1331.33,0.74514,1.15304,1.18909,0.3738,0.5664,0.35965,0.26479,1.02582,1.90732,1.45907,0.000247472,0.000247472,0.000247472
35,1370.18,0.7537,1.1266,1.18422,0.36,0.57669,0.34075,0.25126,1.04637,1.99442,1.46939,0.000233335,0.000233335,0.000233335
36,1409.07,0.74192,1.10539,1.18033,0.36081,0.49787,0.35336,0.26117,1.05429,2.02158,1.48087,0.000219198,0.000219198,0.000219198
37,1447.97,0.74393,1.07479,1.17651,0.35001,0.5594,0.34415,0.25216,1.06441,2.05137,1.50128,0.000205061,0.000205061,0.000205061
38,1486.82,0.72835,1.05277,1.17802,0.3516,0.54857,0.34881,0.2528,1.05329,2.02003,1.47069,0.000190924,0.000190924,0.000190924
39,1525.78,0.71927,1.02429,1.17226,0.35664,0.48908,0.33617,0.24351,1.03477,2.14423,1.47056,0.000176786,0.000176786,0.000176786
40,1564.64,0.71011,1.00712,1.16144,0.36337,0.48201,0.32585,0.23453,1.05495,2.18349,1.50758,0.000162649,0.000162649,0.000162649
41,1610.51,0.65252,0.88156,1.14246,0.3393,0.55054,0.3576,0.25587,1.08254,2.16379,1.50436,0.000148512,0.000148512,0.000148512
42,1650.02,0.62158,0.76641,1.11045,0.33245,0.48993,0.33432,0.24043,1.05741,2.20621,1.49148,0.000134375,0.000134375,0.000134375
43,1689.09,0.62025,0.74596,1.12287,0.35198,0.51513,0.34876,0.25529,1.04792,2.30302,1.49894,0.000120238,0.000120238,0.000120238
44,1731.82,0.59825,0.71654,1.0992,0.36471,0.51797,0.34398,0.24787,1.04389,2.32592,1.50484,0.0001061,0.0001061,0.0001061
45,1775.51,0.59347,0.691,1.0955,0.34017,0.55372,0.34954,0.25126,1.07308,2.31943,1.52637,9.19632e-05,9.19632e-05,9.19632e-05
46,1817.82,0.57923,0.67209,1.08828,0.36621,0.48354,0.35534,0.25844,1.04357,2.36199,1.50361,7.7826e-05,7.7826e-05,7.7826e-05
47,1860.11,0.56505,0.62353,1.06863,0.33757,0.4807,0.33506,0.24747,1.03535,2.46415,1.49006,6.36888e-05,6.36888e-05,6.36888e-05
48,1901.51,0.5589,0.61475,1.06555,0.3671,0.50438,0.34355,0.24969,1.03847,2.45053,1.49493,4.95516e-05,4.95516e-05,4.95516e-05
49,1942.98,0.54397,0.58908,1.0626,0.34297,0.50619,0.33726,0.24427,1.05832,2.52712,1.50586,3.54144e-05,3.54144e-05,3.54144e-05
50,1984.25,0.54318,0.56966,1.057,0.35089,0.52696,0.34236,0.24781,1.05219,2.58079,1.50119,2.12772e-05,2.12772e-05,2.12772e-05
