                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88741,                 3.6971,                 1.4367,                0.48122,                 0.3202,                0.28223,                0.18823,                 1.1509,                 2.8081,                 1.8064,             0.00013845,             0.00013845,             0.00013845
                      2,                0.98031,                 2.4938,                  1.484,                0.55369,                0.51497,                0.55576,                0.36914,                 1.2492,                 2.1318,                 1.8725,             0.00027196,             0.00027196,             0.00027196
                      3,                0.97485,                 2.0692,                 1.4813,                0.61375,                0.54119,                0.61985,                0.38169,                 1.2923,                 1.6881,                 1.8813,             0.00039996,             0.00039996,             0.00039996
                      4,                0.95989,                 1.9013,                 1.4554,                0.51867,                0.65514,                 0.6401,                0.41947,                 1.1671,                  1.626,                  1.799,             0.00039223,             0.00039223,             0.00039223
                      5,                0.96295,                 1.7655,                 1.4486,                0.60722,                0.60948,                0.67453,                0.45154,                 1.1699,                 1.5871,                 1.7468,             0.00038397,             0.00038397,             0.00038397
                      6,                0.92911,                 1.6607,                 1.4304,                0.62498,                0.70567,                0.71654,                0.47571,                 1.1305,                 1.3021,                 1.7557,             0.00037572,             0.00037572,             0.00037572
                      7,                0.93867,                 1.5427,                 1.4287,                 0.5882,                0.73772,                0.74246,                0.52051,                 1.0758,                 1.2808,                 1.6898,             0.00036746,             0.00036746,             0.00036746
                      8,                0.89687,                 1.4434,                 1.3938,                0.71413,                 0.7711,                0.78611,                0.53368,                 1.1367,                 1.1803,                 1.7022,              0.0003592,              0.0003592,              0.0003592
                      9,                0.87845,                 1.3745,                 1.3823,                0.67302,                0.69871,                0.75652,                0.51593,                 1.0686,                 1.3696,                  1.643,             0.00035095,             0.00035095,             0.00035095
                     10,                0.87023,                 1.3201,                 1.3725,                0.69738,                0.66361,                0.72113,                0.49486,                 1.1068,                  1.293,                 1.6932,             0.00034269,             0.00034269,             0.00034269
                     11,                 0.8719,                 1.2984,                 1.3747,                0.67765,                0.74609,                0.76455,                0.53784,                 1.0623,                  1.225,                 1.6633,             0.00033443,             0.00033443,             0.00033443
                     12,                0.84553,                 1.2255,                  1.345,                0.70582,                0.81068,                0.78969,                0.57134,                 1.0208,                 1.0592,                 1.6044,             0.00032618,             0.00032618,             0.00032618
                     13,                0.82109,                 1.1791,                 1.3282,                0.72614,                0.82856,                0.82556,                0.59389,                 1.0123,                 1.0229,                 1.5964,             0.00031792,             0.00031792,             0.00031792
                     14,                0.83895,                 1.1389,                 1.3402,                0.74352,                0.79239,                0.80652,                0.56727,                 1.0449,                  1.008,                 1.6641,             0.00030966,             0.00030966,             0.00030966
                     15,                0.81241,                  1.103,                 1.3193,                0.74438,                0.78192,                0.80962,                0.56727,                 1.1037,                 1.0394,                  1.728,             0.00030141,             0.00030141,             0.00030141
                     16,                0.80583,                  1.061,                  1.326,                0.69504,                0.78764,                0.81247,                0.59532,                 1.0177,                 1.0208,                 1.6149,             0.00029315,             0.00029315,             0.00029315
                     17,                0.78964,                 1.0436,                 1.3144,                0.75518,                0.82292,                0.82695,                0.59545,                 1.0168,                0.96991,                 1.5926,             0.00028489,             0.00028489,             0.00028489
                     18,                0.76551,                0.97414,                 1.2865,                0.79011,                0.77708,                0.82634,                0.60364,                 1.0017,                0.94976,                 1.5756,             0.00027664,             0.00027664,             0.00027664
                     19,                0.75709,                0.95986,                 1.2799,                0.76495,                0.74337,                0.80789,                0.58169,                 1.0159,                 1.0058,                 1.5982,             0.00026838,             0.00026838,             0.00026838
                     20,                0.74736,                0.92977,                 1.2687,                0.77161,                0.82304,                0.84584,                0.61993,                 1.0092,                0.94474,                 1.5807,             0.00026012,             0.00026012,             0.00026012
                     21,                0.74006,                 0.9101,                 1.2628,                0.78465,                0.73804,                0.82003,                0.60464,                 1.0337,                 1.0173,                 1.6382,             0.00025187,             0.00025187,             0.00025187
                     22,                0.73175,                 0.8871,                 1.2559,                0.75143,                0.83417,                  0.843,                 0.6115,                 1.0037,                0.94682,                 1.6004,             0.00024361,             0.00024361,             0.00024361
                     23,                0.72496,                0.87319,                 1.2613,                0.75998,                0.83888,                0.84383,                  0.605,                 1.0242,                0.90088,                 1.5994,             0.00023535,             0.00023535,             0.00023535
                     24,                0.71932,                0.84311,                 1.2568,                0.82911,                0.80742,                0.85105,                0.61892,                 1.0361,                0.84666,                 1.6241,              0.0002271,              0.0002271,              0.0002271
                     25,                0.70882,                0.82018,                 1.2424,                0.76798,                0.86666,                0.86126,                0.61211,                 1.0632,                0.84866,                 1.6882,             0.00021884,             0.00021884,             0.00021884
                     26,                0.70038,                0.79548,                 1.2392,                0.79481,                0.84482,                0.84585,                0.60662,                 1.0737,                0.85925,                 1.6777,             0.00021059,             0.00021059,             0.00021059
                     27,                0.67799,                0.78994,                 1.2168,                0.79927,                0.82701,                0.85654,                0.62211,                 1.0234,                 0.8285,                 1.6222,             0.00020233,             0.00020233,             0.00020233
                     28,                0.66272,                0.75103,                 1.2029,                 0.8298,                0.81241,                0.85456,                0.62544,                0.98502,                0.81356,                 1.5622,             0.00019407,             0.00019407,             0.00019407
                     29,                0.66062,                 0.7216,                  1.207,                0.74961,                0.84569,                0.84555,                0.62864,                0.97644,                0.85394,                 1.5781,             0.00018582,             0.00018582,             0.00018582
                     30,                0.65779,                0.75107,                 1.2084,                0.78992,                0.81307,                0.82415,                0.61081,                  1.011,                0.88635,                 1.6161,             0.00017756,             0.00017756,             0.00017756
                     31,                0.65175,                0.71813,                 1.1973,                0.78494,                0.82057,                0.85232,                0.63175,                 1.0013,                0.81846,                 1.6207,              0.0001693,              0.0001693,              0.0001693
                     32,                0.62881,                 0.6821,                  1.183,                0.80613,                0.84808,                0.85836,                0.64785,                 0.9475,                 0.7492,                 1.5807,             0.00016105,             0.00016105,             0.00016105
                     33,                0.61718,                0.67467,                 1.1716,                0.81029,                0.85063,                0.85792,                0.63919,                0.96361,                0.77969,                 1.5802,             0.00015279,             0.00015279,             0.00015279
                     34,                0.61196,                0.65247,                 1.1647,                  0.854,                0.79431,                0.86259,                0.63798,                0.95774,                0.75714,                 1.5597,             0.00014453,             0.00014453,             0.00014453
                     35,                 0.6148,                0.63926,                 1.1721,                0.81588,                0.80401,                0.84768,                0.62213,                0.97047,                0.82181,                 1.6039,             0.00013628,             0.00013628,             0.00013628
                     36,                0.59549,                0.62807,                 1.1576,                0.80187,                0.86213,                0.85835,                0.63618,                 1.0024,                0.85835,                 1.6123,             0.00012802,             0.00012802,             0.00012802
                     37,                0.58936,                0.62635,                 1.1483,                0.82676,                0.83408,                0.86164,                0.63489,                0.98475,                0.78253,                 1.5798,             0.00011976,             0.00011976,             0.00011976
                     38,                0.58011,                0.58845,                 1.1381,                0.84181,                0.80499,                0.86969,                0.64774,                0.94785,                0.75385,                  1.584,             0.00011151,             0.00011151,             0.00011151
                     39,                0.57197,                0.58723,                 1.1438,                0.82105,                  0.876,                0.86477,                0.64108,                0.94216,                0.74938,                 1.5714,             0.00010325,             0.00010325,             0.00010325
                     40,                0.56677,                0.58182,                 1.1418,                0.83398,                0.86404,                 0.8729,                0.66161,                0.93934,                0.73204,                 1.5539,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                 0.5053,                0.48486,                 1.1537,                0.85623,                0.80976,                0.85749,                0.64032,                0.95541,                0.80984,                 1.5862,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                0.47732,                0.42042,                 1.1302,                0.82706,                0.83928,                0.85943,                0.64282,                0.95142,                0.79498,                 1.6161,             7.8479e-05,             7.8479e-05,             7.8479e-05
